Categorie,Commentaire,Contenu,Titre,links
,"14505 articles,0 commentaires","Serigne Moustapha Sy « Soudoul Wone ak Nioune Yonanti Bi Dou Ame Lima Ame… » (Vidéo),
",Serigne Moustapha Sy « Soudoul Wone ak Nioune Yonanti Bi Dou Ame Lima Ame… » (Vidéo),
,"609 articles,0 commentaires"," ,Ces individus font face à des accusations pour plusieurs délits dont la violation de domicile et l’usage de violence.,Le déroulement de l’enquête a également conduit à la confiscation de l’arme à feu du Khalife par les agents du commissariat central de la région. L’arme a ensuite été remise au parquet pour des raisons légales : le nom de Cheikhna Cheikh Sadibou Aïdara, le Khalife en question, n’est pas celui inscrit sur le permis de port d’arme. Étonnamment, le permis est établi au nom de son frère, selon des sources judiciaires., ,Derrière cette attaque se cache en réalité une vendetta. Dans la nuit de lundi à mardi, six personnes ont lancé une attaque vengeresse aux alentours de 2 heures du matin à Darou. Cette agression était une réponse à un différend qui les opposait aux petits-fils du Khalife.,Suite à cet assaut nocturne, Cheikhna Cheikh Sadibou Aïdara a subi des violences et a été légèrement blessé à un doigt. En guise de défense, le Khalife a tiré un coup de sommation pour éloigner ses assaillants.,Dans la foulée des événements, les forces de l’ordre, ayant été alertées, ont arrêté trois des suspects. Les trois autres, après avoir été maltraités par ce que l’on suppose être des disciples du Khalife, ont été appréhendés le jour suivant. Ces agresseurs, blessés, ont été transportés à l’hôpital pour des soins avant d’être mis en garde à vue., , ",Dernières révélations sur l’attaque contre le Khalife général des chérif à Saint-Louis,
,"21736 articles,0 commentaires","(Vidéo) Premier Gamou sans son Père: la réaction émouvante d’Aziz Ndiaye  » Lou Méti La, Lou Tiiis La Ci Nioune La »,
","(Vidéo) Premier Gamou sans son Père: la réaction émouvante d’Aziz Ndiaye « Lou Méti La, Lou Tiiis La Ci Nioune La »",
,"609 articles,0 commentaires"," ,Entre les années 2001 et 2018, le , aurait transféré la somme colossale de 7,5 millions d’euros à des entreprises détenues par Negreira. Ces transactions ont eu lieu pendant le mandat de Joan Laporta, qui présidait alors le club. Cependant, Laporta insiste sur le fait que ces fonds étaient destinés à des prestations de conseil, niant toute malversation.,Suite à ces révélations, le bureau du procureur provincial de Barcelone a inculpé le club pour des actes de « corruption continue dans le milieu sportif » au mois de mars, poussant ainsi l’UEFA à lancer une enquête. Cette dernière a, dans un premier temps, accordé une participation provisoire du club en Ligue des champions, tout en gardant l’option d’une exclusion future.,De plus, un rapport de la Garde civile espagnole, cité par El Mundo, a mis en lumière que sous la houlette de Victoriano Sanchez Arminio et Jose Maria Enriquez Negreira, les décisions prises par le CTA n’étaient pas toujours impartiales. Ce rapport pointe du doigt une gestion opaque du comité, avec des décisions parfois biaisées.,La situation s’est encore envenimée récemment. Le tribunal a déclaré que les fonds versés à Negreira étaient illégaux. Selon Cadena SER, le juge Joaquin Aguirre, en charge du dossier, a estimé que ces paiements étaient des actes de corruption, étant donné que Negreira occupait un poste officiel lorsqu’il percevait ces sommes. Les accusations portent principalement sur le fait que ces paiements ont été effectués uniquement parce que Negreira était en position d’influence au sein de l’organisme d’arbitrage.,Le FC Barcelone, ses anciens présidents Josep Maria Bartomeu et Sandro Rosell, ainsi que Negreira et son fils font désormais face à ces accusations graves. Le juge Aguirre a précisé qu’il ne serait pas nécessaire de démontrer une manipulation de matchs pour établir un acte de corruption.,L’UEFA, très attentive à cette affaire, pourrait réagir à ces nouveaux éléments. Malgré un début prometteur en Ligue des champions avec une victoire écrasante contre le Royal Antwerp, le FC Barcelone pourrait voir son avenir dans la compétition sérieusement compromis, voire une interdiction de participation la saison prochaine., , , ",Barça : l’Uefa pense à exclure les catalans de la ligue des champions,
,"609 articles,0 commentaires"," ,Héritier d’une lignée respectée, il est le petit-fils de la figure emblématique Mame Maodo Malick. Pleinement conscient des enjeux, Serigne Hady Sy n’a pas hésité à montrer publiquement son soutien au camp présidentiel. Son message est clair : l’heure est à l’unité. Il exhorte tous les candidats potentiels de Benno Bokk Yakaar à mettre de côté leurs ambitions individuelles pour se rallier derrière la figure présidentielle de Macky Sall.,Selon lui, c’est en forgeant cette unité que Benno pourra envisager une victoire convaincante en 2024. Le guide religieux s’exprimait en marge de la célébration du Mawlid à Tivaouane., , ",L’unité derrière Macky Sall : Un appel solennel de Serigne Hady Sy pour les élections de 2024,
,"609 articles,0 commentaires"," ,Lors d’une entrevue avec la presse à la cérémonie officielle qui s’est déroulée hier à sa résidence à Tivaouane, El Hadj Mansour Mbaye a tenu à s’adresser directement à ces jeunes, en particulier à ceux qui sont tentés par l’idée d’émigrer en quête d’un eldorado hypothétique. Il leur rappelle : « Le Sénégal est un pays d’espoir, de valeurs et de croyances. Soyez patients, respectez vos parents et retenez que vous êtes l’espoir de ce pays » a-t-il souligné avec emphase., ",Gamou 2023: El Hadj Mansour Mbaye lance un appel vibrant à la jeunesse,
,"14505 articles,0 commentaires",Alassane Mbaye débarque chez Aziz Ndiaye et envoie un message à Aïcha Rassoul « Limakoy Dénk Moy… »,Alassane Mbaye débarque chez Aziz Ndiaye et envoie un message à Aïcha Rassoul « Limakoy Dénk Moy… » (Vidéo),
,"10013 articles,0 commentaires","
L’association Stop Homophobie avait porté plainte contre des propos tenus par Eric Zemmour le 15 octobre 2019, dans l’émission « Face à l’info » animée par Christine Kelly. L’émission était intitulée ce jour-là: « Procréation médicalement assistée: un progrès ? », après l’adoption en première lecture à l’Assemblée d’un projet de loi prévoyant notamment l’extension de la PMA aux couples de femmes et aux femmes seules.,Zemmour avait tenu ces propos lors d’un long débat avec Nicolas Bouzou.,« Nous faisons immédiatement appel de cette décision », a déclaré à l’AFP son avocat, Me Olivier Pardo., ",Eric Zemmour condamné pour injure homophobe,
,"123362 articles,0 commentaires","Évoquant un « moment historique », , a proposé jeudi qu' »une nouvelle étape soit franchie » avec « l’entrée de la Corse » dans la Constitution française et « une autonomie » pour l’île, qui ne soit « ni contre l’État ni sans l’État ».,Le président de la République a donné six mois aux groupes politiques corses et à l’,pour arriver à un accord avec le gouvernement sur un « texte constitutionnel et organique » qui permettra de modifier le statut de la Corse.,Emmanuel Macron a souhaité, jeudi 28 septembre, lors d’un discours à Ajaccio, « faire entrer la Corse dans la Constitution » afin de reconnaître les spécificités de l’île grâce à une autonomie « ni contre l’État, ni sans l’État ».,« Je suis favorable à ce que les spécificités de la communauté insulaire corse soient reconnues dans la Constitution au sein d’un article propre, celui d’une communauté insulaire, linguistique et culturelle », a déclaré le président de la République devant l’Assemblée de Corse.,« Pour répondre au besoin de reconnaissance, éviter de nouvelles confrontations (…) ayons l’audace de bâtir une autonomie à la Corse dans la République », a-t-il poursuivi.,« Cette autonomie doit être le moyen pour construire ensemble l’avenir sans désengagement de l’État. Ce ne sera pas une autonomie contre l’État ni sans l’État mais pour la Corse et dans la République. Le moment exige des uns et des autres un esprit de responsabilité et de dépassement. »,Le chef de l’État a appelé de ses vœux la conclusion d’un accord dans les six mois entre l’exécutif et l’assemblée territoriale sur un texte constitutionnel.,« Je souhaite que le travail avec le gouvernement puisse mener à un texte constitutionnel et organique ainsi soumis à votre accord d’ici six mois. C’est sur la base de celui-ci que nous pourrons engager le processus de révision constitutionnelle et organiser la consultation en Corse et à l’issue, préparer le projet de loi organique qui mettra en œuvre cette nouvelle étape », a-t-il précisé. « C’est une étape historique à laquelle nous devons collectivement œuvrer », a encore souligné Emmanuel Macron.,
« La Corse retient son souffle ».","Emmanuel Macron propose une « autonomie » pour la Corse « dans la République »,SÉISME AU MAROC : EMMANUEL MACRON SE DIT «BOULEVERSÉ» PAR CETTE TRAGÉDIE",
,"3919 articles,0 commentaires","Le parquet militaire « , », a indiqué le procureur Ahmed Ferdinand Sountoura, dans un communiqué consulté jeudi par l’Agence France-Presse.,En décembre 2022, le parquet avait déjà dénoncé une tentative de déstabilisation du régime et annoncé des arrestations de militaires.,Cette tentative de putsch présumée survient quasiment un an jour pour jour après la prise de pouvoir par un coup d’Etat du capitaine Traoré, le 30 septembre 2022.",Tentative de Coup d’État déjouée au Burkina : Quatre officiers interpellés,
